scope,category,profile,legacy_api,canonical_name,variant,mean_cycles,zp_bytes,stack_page_reserved_bytes,source_path,source_sha256,validation_path,status,notes
shipped-profile,multiply,v3_reu_512k,MATH_SMUL32,mul_s32_s32_s64,,744.033209,31,0,v3_reu_512k/standalone/mul_s32_s32_s64.asm,b7f996a266720059e2b9878c1ddbe4c936728d728e235e86bd107235b749f879,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
shipped-profile,multiply,v4_reu_16m,MATH_SMUL32,mul_s32_s32_s64,,744.090079,31,0,v4_reu_16m/standalone/mul_s32_s32_s64.asm,35fbe0e1efcf542e5e9a7250513879ee5a0cbb56c9595714f4e732bdf032bb95,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
shipped-profile,multiply,v5_hybrid_lowzp,MATH_SMUL32,mul_s32_s32_s64,,743.913242,31,0,v5_hybrid_lowzp/standalone/mul_s32_s32_s64.asm,db34ebc66813f46c13e36cc384cc47073d6f22763dfbe876a2620e9d0ffed686,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
standalone-alternative,multiply,,,mul_s32_s32_s64,fast31_native,697.259440,31,0,routines/multiply/mul_s32_s32_s64_fast31_native.asm,5bb889eb375b5c046140f4927962483d35a50d196ae7b1cd3887d5a09e169008,validation/records/SMUL32_FAST31_NATIVE_100K.json,validated research standalone,31-ZP native research point; not the shipped mixed-call-safe public wrapper
standalone-alternative,multiply,,,mul_s32_s32_s64,turbo135,665.877260,135,0,routines/multiply/mul_s32_s32_s64_turbo135.asm,b155b20476801ec113e3a1dfaa68e5899f90dac623f6a1002cbf9a8c5df384e7,validation/records/SMUL32_TURBO135_100K.json,validated research standalone,stack-free high-ZP practical point; signed composition over Turbo32 producer
shipped-profile,multiply,v1_balanced,MATH_SMUL32_READY,mul_s32_s32_s64_ready,,726.388672,31,0,v1_balanced/standalone/mul_s32_s32_s64_ready.asm,6b39f5668090b48d1d85849c06783b3b95172d309892b7faad7f096b5a2e14b5,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
shipped-profile,multiply,v2_pareto_fast,MATH_SMUL32_READY,mul_s32_s32_s64_ready,,728.041992,31,0,v2_pareto_fast/standalone/mul_s32_s32_s64_ready.asm,a2d55af09810ab6635bf7c2e6074f47159506e668ba21967fc12294cede7a0d2,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
shipped-profile,multiply,v3_reu_512k,MATH_SMUL32_READY,mul_s32_s32_s64_ready,,728.544922,31,0,v3_reu_512k/standalone/mul_s32_s32_s64_ready.asm,b7a5565dafdaec33d7aa45e86ca3b60b0c2053b686c897bf72c61c616f0aed42,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
shipped-profile,multiply,v4_reu_16m,MATH_SMUL32_READY,mul_s32_s32_s64_ready,,726.368164,31,0,v4_reu_16m/standalone/mul_s32_s32_s64_ready.asm,c7a74031ce9aa4e7bff3bbff6608558df28136c6bfaeb523a788c27df0b114ae,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
shipped-profile,multiply,v5_hybrid_lowzp,MATH_SMUL32_READY,mul_s32_s32_s64_ready,,726.739258,31,0,v5_hybrid_lowzp/standalone/mul_s32_s32_s64_ready.asm,d6fe2768c57614a9371724caafead3dd4718c17483eea3d79270f75586aae5b2,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
shipped-profile,multiply,v1_balanced,MATH_SMUL8,mul_s8_s8_s16,,67.992188,0,0,v1_balanced/standalone/mul_s8_s8_s16.asm,8836804a285e851dfb22ab4206bb27f1916be91e1afd3a75f6e7f60145a64765,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
shipped-profile,multiply,v2_pareto_fast,MATH_SMUL8,mul_s8_s8_s16,,67.992188,0,0,v2_pareto_fast/standalone/mul_s8_s8_s16.asm,7c0590ff2ed367fad108744eae66f243fdb90d60df338064302dc67504c37fc3,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
shipped-profile,multiply,v3_reu_512k,MATH_SMUL8,mul_s8_s8_s16,,67.992188,0,0,v3_reu_512k/standalone/mul_s8_s8_s16.asm,eac1da9d72dbd252a6749b909e83d639336a30b013730a4f5f1af5a0dc5b3dc8,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
shipped-profile,multiply,v4_reu_16m,MATH_SMUL8,mul_s8_s8_s16,,67.992188,0,0,v4_reu_16m/standalone/mul_s8_s8_s16.asm,b9e4c417102d88a56e227e4e50d86a00215ce2f847e00f00922cefebd426bbe9,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
shipped-profile,multiply,v5_hybrid_lowzp,MATH_SMUL8,mul_s8_s8_s16,,67.992188,0,0,v5_hybrid_lowzp/standalone/mul_s8_s8_s16.asm,f6ca01c07205f6907d3beaf3ba10422d476658612b27bc26748c41f1a7c212b1,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
shipped-profile,multiply,v1_balanced,MATH_UMUL16_SHR8,mul_u16_u16_u24_shr8,,314.965600,17,0,v1_balanced/standalone/mul_u16_u16_u24_shr8.asm,2d1c946122dcdf2ca6c4192051cd82439c87f7706e971aec08e3a8149cec1aa1,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
shipped-profile,multiply,v2_pareto_fast,MATH_UMUL16_SHR8,mul_u16_u16_u24_shr8,,266.965600,17,0,v2_pareto_fast/standalone/mul_u16_u16_u24_shr8.asm,7e7b629fde7f3812e017b7bd0718419bebc9caa3524a9aa06320e9a73669b2cd,benchmarks/PUBLIC_PROFILE_RESULTS.csv,shipped,
